dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""image_user_daily_metrics_view\""') TO 's3://gold-data-domo/dw/analytics/image_user_daily_metrics_view/image_user_daily_metrics_view_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",4,10.78333,18.96666,15.08749,60.34998,0.09733,1,1699810,1713169,1703921,6815685,703087830,2025-03-06,4,0,default,0,0,"active_users_split_counts_cube_daily, user_subscription_daily, image_user_daily_metrics, user_ds_product_attributes",
dw,app_matillion,"CREATE TABLE analytics.mv_tbl__subscription_user_daily__0__tmp BACKUP YES AS ( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_ev",3,7.01666,249.21666,167.66110,502.98332,0.00000,0,0,4487290,1643179,4929539,699722093,2025-03-01,2,2,default,0,0,"subscription_type, subscription_plans, date",NL
dw,app_matillion,/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM dw.analytics.image_search_top_keyword_metric_daily') to 's3://gold-data-domo/dw/analytics/image_search_top_keyword_metric_daily/image_search_top_keyword_metric_daily_' iam_role '' ESCAPE ADDQUOTES DELIMITER '|' HEADER CLEANPATH gzip;,1,16.08333,16.08333,16.08333,16.08333,0.61983,3,1639688,1639688,1639688,1639688,703117188,2025-03-06,1,0,default,0,0,"user_subscription_daily, image_session_daily_metrics, user_ds_product_attributes",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar0_active_vs_total_userbase_weekly\""') TO 's3://gold-data-domo/dw/analytics/pillar0_active_vs_total_userbase_weekly/pillar0_active_vs_total_userbase_weekly_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",2,24.30000,28.21666,26.25833,52.51666,0.14433,3,1590514,1600631,1595572,3191145,701855029,2025-03-04,2,0,default,0,0,"active_users_split_counts_cube_weekly, user_ds_product_attributes, user_subscription_daily",Sortkey NL
personalization,app_airflow_dev,"INSERT INTO personalization.public.transformed_recos_response2 ( date_id, timestamp, user_id, request_id, item_id, item_type, item_source, item_rank, size, origin, query_specific_parameters, use_case, is_onboarder, image_ranking_strategy, project_ranking_strategy, selected_source_generators, apply_diversification, raw_table_load_date ) SELECT getdate() as date_id, raw_data.\""timestamp\""::timestamp as timestamp, raw_data.\""query\"".\""user_id\""::BIGINT as user_id, raw_data.\""request_id\""::VARCHAR a",1,28.68333,28.68333,28.68333,28.68333,0.14400,1,1539191,1539191,1539191,1539191,699142311,2025-02-28,1,0,default,0,0,,
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""image_search_metric_daily\""') TO 's3://gold-data-domo/dw/analytics/image_search_metric_daily/image_search_metric_daily_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,12.35000,12.35000,12.35000,12.35000,0.00366,0,1511527,1511527,1511527,1511527,700820281,2025-03-03,1,0,default,0,0,"user_subscription_daily, image_session_daily_metrics, user_ds_product_attributes",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ create table stage.udm_registrations_unique_users distkey (user_id) sortkey (date_id) as SELECT user_id , date_id , BOOL_OR(CASE WHEN last_registered.row_registration_date = 1 THEN TRUE ELSE FALSE END) AS was_a_last_user_registered_to_a_connected_machine FROM ( SELECT dd.date_id , regs.user_id , ROW_NUMBER() OVER (PARTITION BY regs.serial_number, dd.date_id ORDER BY regs.registration_date DESC) AS row_registration_date FROM dim.date AS dd JOIN ( SELECT fmr.",1,24.20000,24.20000,24.20000,24.20000,0.00000,0,1504590,1504590,1504590,1504590,702415503,2025-03-05,1,1,default,0,0,"machine_registration, date, machine",NL
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""subscription_type_daily\""') TO 's3://gold-data-domo/dw/analytics/subscription_type_daily/subscription_type_daily_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,29.63333,29.63333,29.63333,29.63333,0.41983,3,1450150,1450150,1450150,1450150,700356293,2025-03-02,1,0,default,0,0,"engagement_cohorts, country, user_profile",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ create table stage.udm_registrations_unique_users distkey (user_id) sortkey (date_id) as SELECT user_id , date_id , BOOL_OR(CASE WHEN last_registered.row_registration_date = 1 THEN TRUE ELSE FALSE END) AS was_a_last_user_registered_to_a_connected_machine FROM ( SELECT dd.date_id , regs.user_id , ROW_NUMBER() OVER (PARTITION BY regs.serial_number, dd.date_id ORDER BY regs.registration_date DESC) AS row_registration_date FROM dim.date AS dd JOIN ( SELECT fmr.",3,18.15000,26.68333,23.58333,70.74999,0.09416,3,1169047,1549739,1374692,4124078,703115132,2025-03-06,3,3,default,0,0,"date, machine, machine_registration",NL
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""user_machine_registration_cohort\""') TO 's3://gold-data-domo/dw/analytics/user_machine_registration_cohort/user_machine_registration_cohort_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,39.91666,39.91666,39.91666,39.91666,0.00000,0,1352493,1352493,1352493,1352493,699113790,2025-02-28,1,0,default,0,0,"fact_image_cut, user_profile, onboarding_base_events, machine, machine_registration, retail_customer, product, machine_serialization, user_daily_metrics, dim_application",
