share_type,share_name,include_new,producer_account,object_type,namespace,object_name,table_rows,last_vacuum_date,is_last_vacuum_recluster,num_insert_operation,total_inserted_rows,last_insert_date,num_delete_operation,total_deleted_rows,last_delete_date,is_mv_stale,is_mv_incremental_refresh,is_mv_auto_refresh
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,image,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,image_set_group,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,image_set_group_image_set,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,False,680314452999,schema,,cricut_dw,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,True,680314452999,schema,,analytics,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,True,680314452999,schema,,dim,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,True,680314452999,schema,,fact,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,True,680314452999,schema,,public,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,function,public,try_cast,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,function,public,dqm_sql_all_val_lbl,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,function,public,normalize_whitespace,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,function,public,dqm_sql_err_val_lbl,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_material_layer_output,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,power_user_view_base,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,user_subscription_engagement_by_month,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,engagement_depth,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,image_user_daily_metrics_view,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,image_cut_daily,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_mat_type_mat_size_material,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_mat_type,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,ca_long_tail_analysis,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,ad_click_rate,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,active_users_split_counts_daily_on_cohort_subs_usertenure,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_material,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,projects_cut_per_engaged_user,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,user_subscription_engagement_by_month_test_01,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,engagement_depth_material_with_country,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_connectiontype,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,fact,udm_visitors,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_mat_type_material,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,public,engagement_depth_material,,,,,,,,,,,,
OUTBOUND,cricut_gold_dw,,680314452999,late binding view,analytics,cutting_metrics_by_user_machine_tool_name,,,,,,,,,,,,
