dbname,namespace,table_name,encoded,diststyle,sortkey1,max_varchar,sortkey1_enc,sortkey_num,unsorted,stats_off,tbl_rows,skew_rows,estimated_visible_rows,num_rows_marked_for_deletion,pct_rows_marked_for_deletion,vacuum_sort_benefit,vacuum_run_type,is_last_vacuum_recluster,last_vacuumed_date,days_since_last_vacuumed,query_count,table_recommendation_count,encoded_column_count,column_count,encoded_column_pct,encoded_sortkey_count,distkey_column_count,large_column_size_count,sort_key_alert_sample_query,sort_key_alert_query_count,stats_alert_sample_query,stats_alert_query_count,nl_alert_sample_query,nl_alert_query_count,distributed_alert_sample_query,distributed_alert_query_count,distributed_alert_sample_query,broadcasted_alert_query_count,deleted_alert_sample_query,deleted_alert_query_count
dw,analytics,user_lifetime_value,Y,AUTO(EVEN),user_id,65535,none,2,74.99,100.00,1418430442,,1418430464,0,0.0000,0.00,,,,,135,0,94,99,94.9494,0,0,3,,0,,0,,0,699883179,1,,0,,0
dw,fact,image_search_events,"Y, AUTO(ENCODE)",KEY(user_id),date_id,65535,none,1,4.11,0.00,1377830980,1.01,1356248448,21582532,0.0156,0.00,Automatic,N,2025-03-01,5,1,0,21,22,95.4545,0,1,17,,0,,0,,0,,0,,0,,0
dw,fact,cut_project_session_summary,"Y, AUTO(ENCODE)",AUTO(KEY(cut_session_id)),AUTO(SORTKEY(user_id)),255,none,1,2.85,9.76,1298505980,1.00,1281965056,16540924,0.0127,0.00,,,,,193,0,41,43,95.3488,0,1,0,703351926,39,,0,,0,699899340,1,,0,,0
dw,analytics,fact_project_cut,Y,KEY(date_id),user_id,255,none,2,1.64,0.00,1276396018,1.23,1261577856,14818162,0.0116,4.00,Manual,N,2025-02-28,6,17,0,8,9,88.8888,1,1,0,703367691,7,,0,,0,699678314,3,,0,,0
dw,analytics,fact_project_cut,Y,KEY(date_id),user_id,255,none,2,1.64,0.00,1276396018,1.23,1261577856,14818162,0.0116,4.00,Automatic,N,2025-02-27,7,17,0,8,9,88.8888,1,1,0,703367691,7,,0,,0,699678314,3,,0,,0
dw,analytics,cut_session_master,Y,EVEN,user_id,344,az64,2,1.34,0.00,1242501789,,1231907712,10594077,0.0085,0.00,Manual,N,2025-02-28,6,7,0,6,6,100.0000,2,0,0,699078195,3,,0,,0,,0,,0,,0
dw,analytics,search_conversion_logic,"Y, AUTO(ENCODE)",KEY(user_id),date_id,65535,none,4,0.00,0.00,1168235671,1.01,1168235648,23,0.0000,0.00,,,,,0,0,0,37,0.0000,0,0,17,,0,,0,,0,,0,,0,,0
dw,analytics,project_query_conversion,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),65535,,0,,0.00,1083997651,,1083997696,0,0.0000,,,,,,0,0,0,24,0.0000,0,0,9,,0,,0,,0,,0,,0,,0
dw,analytics,cut_migration_fact_project_cut_v2,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),65535,,0,,0.00,1065672770,,1065672768,2,0.0000,,Manual,N,2025-02-28,6,2,0,9,9,100.0000,0,0,2,,0,,0,,0,,0,,0,,0
dw,analytics,cutpass_end_base_data,Y,KEY(user_id),event_timestamp,512,az64,2,0.00,0.00,1060603247,1.05,1060603264,0,0.0000,0.00,Manual,Y,2025-02-28,6,134,0,54,57,94.7368,1,1,0,,0,,0,,0,,0,,0,,0
dw,analytics,project_session_daily_metrics,Y,KEY(user_id),event_date_id,12297,none,2,8.08,31.58,1053783886,1.01,1002419520,51364366,0.0487,0.00,Automatic,N,2025-03-05,1,173,0,31,36,86.1111,0,1,1,699177777,8,,0,,0,,0,,0,,0
dw,analytics,project_session_daily_metrics,Y,KEY(user_id),event_date_id,12297,none,2,8.08,31.58,1053783886,1.01,1002419520,51364366,0.0487,0.00,Manual,Y,2025-02-28,6,173,0,31,36,86.1111,0,1,1,699177777,8,,0,,0,,0,,0,,0
dw,analytics,image_session_daily_metrics,Y,KEY(user_id),event_date_id,12297,none,1,5.97,23.09,1040336568,1.01,1002973312,37363256,0.0359,0.00,Automatic,N,2025-03-04,2,179,0,55,58,94.8275,0,1,1,699111635,12,,0,,0,703117188,2,,0,,0
dw,analytics,image_session_daily_metrics,Y,KEY(user_id),event_date_id,12297,none,1,5.97,23.09,1040336568,1.01,1002973312,37363256,0.0359,0.00,Manual,Y,2025-02-28,6,179,0,55,58,94.8275,0,1,1,699111635,12,,0,,0,703117188,2,,0,,0
